Option,416_default_config,config_v8_bare_2
CONFIG_THINKPAD_ACPI_VIDEO,y,
CONFIG_FB_SIS_315,y,
CONFIG_TOUCHSCREEN_HAMPSHIRE,m,
CONFIG_VIA_FIR,m,
CONFIG_ZPA2326,m,
CONFIG_FB_SMSCUFX,m,
CONFIG_FB_SAVAGE_I2C,y,
CONFIG_TOUCHSCREEN_EGALAX_SERIAL,m,
CONFIG_TOUCHSCREEN_CY8CTMG110,m,
CONFIG_LNET_XPRT_IB,m,
CONFIG_JOYSTICK_ZHENHUA,m,
CONFIG_TOUCHSCREEN_TSC200X_CORE,m,
CONFIG_MAC_EMUMOUSEBTN,m,
CONFIG_BLK_MQ_RDMA,y,
CONFIG_PANEL_PARPORT,0,
CONFIG_TYPEC_WCOVE,,m
CONFIG_BACKLIGHT_APPLE,m,
CONFIG_TOUCHSCREEN_MK712,m,
CONFIG_APPLE_GMUX,m,
CONFIG_TINYDRM_MIPI_DBI,m,
CONFIG_FB_HECUBA,m,
CONFIG_MSI_LAPTOP,m,
CONFIG_FB_CARMINE_DRAM_EVAL,y,
CONFIG_JOYSTICK_A3D,m,
CONFIG_TOUCHSCREEN_TPS6507X,m,
CONFIG_FB_ATY,m,
CONFIG_ND_PFN,m,
CONFIG_DEVICE_PUBLIC,y,
CONFIG_TOUCHSCREEN_EXC3000,m,
CONFIG_TIPC_MEDIA_IB,y,
CONFIG_TOUCHSCREEN_FUJITSU,m,
CONFIG_AMD_IOMMU_V2,m,
CONFIG_DRM_AMDGPU_USERPTR,y,
CONFIG_TOUCHSCREEN_AD7879,m,
CONFIG_HTS221,m,
CONFIG_GIRBIL_DONGLE,m,
CONFIG_HW_RANDOM_MTK,,y
CONFIG_TOUCHSCREEN_STMFTS,m,
CONFIG_TEKRAM_DONGLE,m,
CONFIG_COMPILE_TEST,,y
CONFIG_DELL_WMI_LED,m,
CONFIG_TINYDRM_ST7586,m,
CONFIG_ARCH_HAS_HMM,y,
CONFIG_AM2315,m,
CONFIG_TOUCHSCREEN_CYTTSP_I2C,m,
CONFIG_FB_AUO_K1901,m,
CONFIG_DRM_NOUVEAU,m,
CONFIG_MEMSTICK_JMICRON_38X,m,
CONFIG_AMD_MEM_ENCRYPT,y,
CONFIG_MEMSTICK,m,
CONFIG_ACT200L_DONGLE,m,
CONFIG_TOSHIBA_BT_RFKILL,m,
CONFIG_USB_C67X00_HCD,m,
CONFIG_INFINIBAND_SRP,m,
CONFIG_IRTTY_SIR,m,
CONFIG_CFAG12864B,m,
CONFIG_TOUCHSCREEN_ELO,m,
CONFIG_VLSI_FIR,m,
CONFIG_TOUCHSCREEN_ZET6223,m,
CONFIG_CHASH,m,
CONFIG_X86_USE_PPRO_CHECKSUM,,y
CONFIG_FB_PM2_FIFO_DISCONNECT,y,
CONFIG_FB_PM2,m,
CONFIG_DRM_SCHED,m,
CONFIG_DMA_VIRT_OPS,y,
CONFIG_INFINIBAND_ADDR_TRANS,y,
CONFIG_MPL115_SPI,m,
CONFIG_ACTISYS_DONGLE,m,
CONFIG_FB_CIRRUS,m,
CONFIG_FB_NVIDIA_I2C,y,
CONFIG_SH_DMAE_BASE,,y
CONFIG_INFINIBAND_VMWARE_PVRDMA,m,
CONFIG_DRM_AMD_DC,y,
CONFIG_HMM_MIRROR,y,
CONFIG_INFINIBAND_USNIC,m,
CONFIG_TCG_CRB,y,m
CONFIG_BXT_WC_PMIC_OPREGION,,y
CONFIG_INFINIBAND_MTHCA,m,
CONFIG_TOUCHSCREEN_USB_PANJIT,y,
CONFIG_TOUCHSCREEN_CYTTSP_SPI,m,
CONFIG_X86_AMD_FREQ_SENSITIVITY,m,
CONFIG_TOUCHSCREEN_USB_DMC_TSC10,y,
CONFIG_TOUCHSCREEN_ADS7846,m,
CONFIG_FB_RIVA_BACKLIGHT,y,
CONFIG_T5403,m,
CONFIG_MICROCODE_AMD,y,
CONFIG_ZPA2326_SPI,m,
CONFIG_TOUCHSCREEN_AD7879_I2C,m,
CONFIG_HTS221_SPI,m,
CONFIG_DELL_WMI_AIO,m,
CONFIG_DEV_DAX_PMEM,m,
CONFIG_PM_GENERIC_DOMAINS_SLEEP,y,
CONFIG_FB_MB862XX,m,
CONFIG_ARCH_USE_MEMREMAP_PROT,y,
CONFIG_TOUCHSCREEN_SUR40,m,
CONFIG_FB_IMSTT,y,
CONFIG_JOYSTICK_GUILLEMOT,m,
CONFIG_KS0108,m,
CONFIG_MATOM,,y
CONFIG_SENSORS_FAM15H_POWER,m,
CONFIG_AMILO_RFKILL,m,
CONFIG_DRM_PANEL_RASPBERRYPI_TOUCHSCREEN,m,
CONFIG_DRM_AMD_ACP,y,
CONFIG_FB_MB862XX_PCI_GDC,y,
CONFIG_NOUVEAU_DEBUG,5,
CONFIG_IRDA_FAST_RR,y,
CONFIG_MTK_THERMAL,,y
CONFIG_PMIC_OPREGION,,y
CONFIG_CHT_DC_TI_PMIC_OPREGION,,y
CONFIG_INFINIBAND_ISERT,m,
CONFIG_HP_WIRELESS,m,
CONFIG_THINKPAD_ACPI,m,
CONFIG_INFINIBAND_CXGB4,m,
CONFIG_FB_AUO_K1900,m,
CONFIG_MEMSTICK_REALTEK_PCI,m,
CONFIG_IIO_ST_PRESS_SPI,m,
CONFIG_MS5611_SPI,m,
CONFIG_VIDEO_MEYE,m,
CONFIG_MCP2120_DONGLE,m,
CONFIG_TOUCHSCREEN_USB_NEXIO,y,
CONFIG_MEMORY_HOTREMOVE,y,
CONFIG_HTS221_I2C,m,
CONFIG_SMC,m,
CONFIG_OLD_BELKIN_DONGLE,m,
CONFIG_DRM_NOUVEAU_BACKLIGHT,y,
CONFIG_CROS_EC_LPC_MEC,y,
CONFIG_TOUCHSCREEN_USB_ETT_TC45USB,y,
CONFIG_TOUCHSCREEN_TOUCHRIGHT,m,
CONFIG_FB_MATROX_G,y,
CONFIG_CRYPTO_DEV_SP_PSP,y,
CONFIG_USB_OXU210HP_HCD,m,y
CONFIG_X86_AMD_PLATFORM_DEVICE,y,
CONFIG_INFINIBAND_IPOIB_CM,y,
CONFIG_CHT_WC_PMIC_OPREGION,,y
CONFIG_TOUCHSCREEN_USB_GUNZE,y,
CONFIG_TOUCHSCREEN_RM_TS,m,
CONFIG_FB_VIA,m,
CONFIG_GART_IOMMU,y,
CONFIG_TOUCHSCREEN_CYTTSP4_I2C,m,
CONFIG_FB_ATY128,m,
CONFIG_SAMSUNG_LAPTOP,m,
CONFIG_EDAC_AMD64,m,
CONFIG_KVM_AMD_SEV,y,
CONFIG_CRYPTO_DEV_CCP_CRYPTO,m,
CONFIG_TOUCHSCREEN_MELFAS_MIP4,m,
CONFIG_XEN_BALLOON_MEMORY_HOTPLUG,y,
CONFIG_FB_OPENCORES,m,
CONFIG_TOUCHSCREEN_ST1232,m,
CONFIG_TOUCHSCREEN_ATMEL_MXT_T37,y,
CONFIG_TOUCHSCREEN_USB_JASTEC,y,
CONFIG_SAMSUNG_Q10,m,
CONFIG_AMD_IOMMU,y,
CONFIG_JOYSTICK_SPACEORB,m,
CONFIG_SONYPI_COMPAT,y,
CONFIG_HDC100X,m,
CONFIG_MLX5_INFINIBAND,m,
CONFIG_THUNDERBOLT,m,
CONFIG_HW_RANDOM_MESON,,y
CONFIG_JOYSTICK_GF2K,m,
CONFIG_FB_HGA,m,
CONFIG_JOYSTICK_GRIP,m,
CONFIG_DELL_SMBIOS,m,
CONFIG_DRM_AMD_DC_PRE_VEGA,y,
CONFIG_INFINIBAND_OCRDMA,m,
CONFIG_INFINIBAND_SRPT,m,
CONFIG_AGP_AMD64,y,
CONFIG_FB_NVIDIA,m,
CONFIG_FB_S3,m,
CONFIG_FB_VIA_X_COMPATIBILITY,y,
CONFIG_ARCH_ENABLE_MEMORY_HOTREMOVE,y,
CONFIG_ALI_FIR,m,
CONFIG_JOYSTICK_SPACEBALL,m,
CONFIG_MEMSTICK_TIFM_MS,m,
